variant,state,bestL,tie,tieL,flipped_vs_nominal,c2v_L0,c2v_L1,c2v_L2,c2v_L3
nominal,ex2.763_1half-,3,1,2,0,2.1427,1.1145,1.0447,1.0282
nominal,ex2.980_3half+,3,1,2,0,2.6774,2.5675,2.1105,1.8704
nominal,ex3.661_NEW,2,1,3,0,2.7990,3.2633,1.0678,1.1231
nominal,ex4.231_3half+,2,0,-1,0,2.1765,1.6633,0.4377,1.0440
nominal,ex4.841_1half+,0,0,-1,0,2.3830,5.5786,6.9588,8.7114
nominal,ex5.91_3half+,2,1,0,0,3.1001,3.2855,2.9147,4.2400
nominal,ex6.30_5half+,0,1,2,0,0.2958,0.5976,0.3598,0.3619
bw_g0.70,ex2.763_1half-,3,1,2,0,2.4330,1.2048,1.1054,1.0938
bw_g0.70,ex2.980_3half+,3,1,2,0,2.6443,2.5043,1.9533,1.7085
bw_g0.70,ex3.661_NEW,2,1,3,0,2.4770,3.1039,1.0482,1.1037
bw_g0.70,ex4.231_3half+,2,0,-1,0,2.4994,1.7816,0.5593,1.5308
bw_g0.70,ex4.841_1half+,0,0,-1,0,2.1304,5.3316,6.1934,7.3617
bw_g0.70,ex5.91_3half+,2,1,0,0,3.2631,3.3863,2.9837,4.7689
bw_g0.70,ex6.30_5half+,0,1,3,0,0.3408,0.6173,0.3830,0.3670
bw_g0.85,ex2.763_1half-,2,1,3,1,2.6988,1.3117,1.1308,1.1417
bw_g0.85,ex2.980_3half+,3,1,2,0,2.6576,2.5410,2.0628,1.8208
bw_g0.85,ex3.661_NEW,2,1,3,0,2.7141,3.2338,1.0573,1.1252
bw_g0.85,ex4.231_3half+,2,0,-1,0,2.2704,1.6834,0.4722,1.1964
bw_g0.85,ex4.841_1half+,0,0,-1,0,2.2835,5.5082,6.6871,8.2370
bw_g0.85,ex5.91_3half+,2,1,0,0,3.1186,3.3379,2.9208,4.3688
bw_g0.85,ex6.30_5half+,0,1,3,0,0.3040,0.5986,0.3623,0.3598
bw_g1.15,ex2.763_1half-,3,1,2,0,2.1267,1.1108,1.0412,1.0248
bw_g1.15,ex2.980_3half+,3,1,2,0,2.7011,2.5906,2.1333,1.8942
bw_g1.15,ex3.661_NEW,2,1,3,0,2.7927,3.2592,1.0671,1.1214
bw_g1.15,ex4.231_3half+,2,0,-1,0,2.1772,1.6639,0.4378,1.0439
bw_g1.15,ex4.841_1half+,0,0,-1,0,2.3829,5.5784,6.9593,8.7122
bw_g1.15,ex5.91_3half+,2,1,0,0,3.0999,3.2855,2.9146,4.2399
bw_g1.15,ex6.30_5half+,0,1,2,0,0.2955,0.5972,0.3594,0.3616
bw_g1.30,ex2.763_1half-,3,1,2,0,2.1131,1.1078,1.0386,1.0222
bw_g1.30,ex2.980_3half+,3,1,2,0,2.7247,2.6129,2.1529,1.9146
bw_g1.30,ex3.661_NEW,2,1,3,0,2.7746,3.2479,1.0654,1.1179
bw_g1.30,ex4.231_3half+,2,0,-1,0,2.1900,1.6686,0.4417,1.0577
bw_g1.30,ex4.841_1half+,0,0,-1,0,2.3768,5.5767,6.9437,8.6841
bw_g1.30,ex5.91_3half+,2,1,0,0,3.0994,3.2864,2.9138,4.2441
bw_g1.30,ex6.30_5half+,0,1,2,0,0.2954,0.5969,0.3591,0.3612
no_3661,ex2.763_1half-,2,1,3,1,3.0599,1.6539,1.3978,1.4348
no_3661,ex2.980_3half+,3,1,2,0,2.9327,2.6093,1.6131,1.4627
no_3661,ex3.661_NEW,-1,0,-1,1,nan,nan,nan,nan
no_3661,ex4.231_3half+,2,0,-1,0,4.5478,3.8426,0.9994,2.3445
no_3661,ex4.841_1half+,0,0,-1,0,2.4920,4.8841,6.0477,7.1431
no_3661,ex5.91_3half+,2,1,0,0,2.5015,2.9046,2.4678,3.4731
no_3661,ex6.30_5half+,0,1,3,0,0.2850,0.5842,0.3447,0.3421
ps1n_x0.30,ex2.763_1half-,3,1,2,0,2.1429,1.1146,1.0447,1.0283
ps1n_x0.30,ex2.980_3half+,3,1,2,0,2.6775,2.5675,2.1107,1.8706
ps1n_x0.30,ex3.661_NEW,2,1,3,0,2.7997,3.2637,1.0678,1.1231
ps1n_x0.30,ex4.231_3half+,2,0,-1,0,2.1758,1.6632,0.4374,1.0428
ps1n_x0.30,ex4.841_1half+,0,0,-1,0,2.3835,5.5786,6.9605,8.7144
ps1n_x0.30,ex5.91_3half+,2,1,0,0,3.1000,3.2855,2.9147,4.2394
ps1n_x0.30,ex6.30_5half+,0,1,2,0,0.2958,0.5976,0.3598,0.3619
ps1n_x3.00,ex2.763_1half-,3,1,2,0,2.1433,1.1147,1.0448,1.0284
ps1n_x3.00,ex2.980_3half+,3,1,2,0,2.6768,2.5669,2.1100,1.8699
ps1n_x3.00,ex3.661_NEW,2,1,3,0,2.7997,3.2639,1.0678,1.1233
ps1n_x3.00,ex4.231_3half+,2,0,-1,0,2.1756,1.6629,0.4374,1.0431
ps1n_x3.00,ex4.841_1half+,0,0,-1,0,2.3831,5.5779,6.9591,8.7123
ps1n_x3.00,ex5.91_3half+,2,1,0,0,3.0995,3.2860,2.9144,4.2393
ps1n_x3.00,ex6.30_5half+,0,1,2,0,0.2958,0.5976,0.3598,0.3620
ps2n_x0.30,ex2.763_1half-,3,1,2,0,2.1437,1.1148,1.0449,1.0284
ps2n_x0.30,ex2.980_3half+,3,1,2,0,2.6768,2.5668,2.1099,1.8698
ps2n_x0.30,ex3.661_NEW,2,1,3,0,2.7988,3.2631,1.0678,1.1230
ps2n_x0.30,ex4.231_3half+,2,0,-1,0,2.1766,1.6632,0.4378,1.0442
ps2n_x0.30,ex4.841_1half+,0,0,-1,0,2.3831,5.5791,6.9591,8.7121
ps2n_x0.30,ex5.91_3half+,2,1,0,0,3.0994,3.2851,2.9143,4.2389
ps2n_x0.30,ex6.30_5half+,0,1,2,0,0.2958,0.5977,0.3598,0.3620
ps2n_x3.00,ex2.763_1half-,3,1,2,0,2.1386,1.1131,1.0478,1.0303
ps2n_x3.00,ex2.980_3half+,3,1,2,0,2.6920,2.5815,2.1238,1.8835
ps2n_x3.00,ex3.661_NEW,2,1,3,0,2.8092,3.2598,1.0666,1.1288
ps2n_x3.00,ex4.231_3half+,2,0,-1,0,2.1770,1.6623,0.4386,1.0455
ps2n_x3.00,ex4.841_1half+,0,0,-1,0,2.3886,5.5245,6.9798,8.7593
ps2n_x3.00,ex5.91_3half+,2,0,-1,0,2.8884,3.4687,2.5136,3.5200
ps2n_x3.00,ex6.30_5half+,3,1,2,1,0.4286,0.7406,0.4138,0.3515
